inci_name,purpose
Aqua,Solvent
Glycerin,Humectant
Hyaluronic Acid,Humectant
Panthenol,Moisturizer
Aloe Barbadensis Leaf Extract,Soothing
Cetearyl Alcohol,Emulsifier
Stearic Acid,Emulsifier
Phenoxyethanol,Preservative
Methylparaben,Preservative
Parfum,Fragrance
Limonene,Fragrance
Linalool,Fragrance
Coconut Oil,Emollient
Jojoba Oil,Emollient
Argan Oil,Emollient
Niacinamide,Brightening
Vitamin C,Antioxidant
Retinol,Anti-aging
Salicylic Acid,Exfoliant
Titanium Dioxide,UV Filter
Zinc Oxide,UV Filter
Sodium Lauryl Sulfate,Surfactant
Dimethicone,Emollient
Xanthan Gum,Thickener
